white,#ffffff
gainsboro,#dcdcdc
silver,#c0c0c0
darkgray,#a9a9a9
gray,#808080
dimgray,#696969
black,#000000
whitesmoke,#f5f5f5
lightgray,#d3d3d3
lightcoral,#f08080
rosybrown,#bc8f8f
indianred,#cd5c5c
red,#ff0000
maroon,#800000
snow,#fffafa
mistyrose,#ffe4e1
salmon,#fa8072
orangered,#ff4500
chocolate,#d2691e
brown,#a52a2a
darkred,#8b0000
seashell,#fff5ee
peachpuff,#ffdab9
tomato,#ff6347
darkorange,#ff8c00
peru,#cd853f
firebrick,#b22222
olive,#808000
linen,#faf0e6
bisque,#ffe4c4
darksalmon,#e9967a
orange,#ffa500
goldenrod,#daa520
sienna,#a0522d
darkolivegreen,#556b2f
oldlace,#fdf5e6
antiquewhite,#faebd7
coral,#ff7f50
gold,#ffd700
limegreen,#32cd32
saddlebrown,#8b4513
darkgreen,#006400
floralwhite,#fffaf0
navajowhite,#ffdead
lightsalmon,#ffa07a
darkkhaki,#bdb76b
lime,#00ff00
darkgoldenrod,#b8860b
green,#008000
cornsilk,#fff8dc
blanchedalmond,#ffebcd
sandybrown,#f4a460
yellow,#ffff00
mediumseagreen,#3cb371
olivedrab,#6b8e23
forestgreen,#228b22
ivory,#fffff0
papayawhip,#ffefd5
burlywood,#deb887
yellowgreen,#9acd32
springgreen,#00ff7f
seagreen,#2e8b57
darkslategray,#2f4f4f
beige,#f5f5dc
moccasin,#ffe4b5
tan,#d2b48c
chartreuse,#7fff00
mediumspringgreen,#00fa9a
lightseagreen,#20b2aa
teal,#008080
lightyellow,#ffffe0
wheat,#f5deb3
khaki,#f0e68c
lawngreen,#7cfc00
aqua,#00ffff
darkturquoise,#00ced1
darkcyan,#008b8b
lightgoldenrodyellow,#fafad2
lemonchiffon,#fffacd
greenyellow,#adff2f
darkseagreen,#8fbc8f
cyan,#00ffff
deepskyblue,#00bfff
midnightblue,#191970
honeydew,#f0fff0
palegoldenrod,#eee8aa
lightgreen,#90ee90
mediumaquamarine,#66cdaa
cadetblue,#5f9ea0
steelblue,#4682b4
navy,#000080
mintcream,#f5fffa
palegreen,#98fb98
skyblue,#87ceeb
turquoise,#40e0d0
dodgerblue,#1e90ff
blue,#0000ff
darkblue,#00008b
azure,#f0ffff
aquamarine,#7fffd4
lightskyblue,#87cefa
mediumturquoise,#48d1cc
lightslategray,#778899
blueviolet,#8a2be2
mediumblue,#0000cd
lightcyan,#e0ffff
paleturquoise,#afeeee
lightsteelblue,#b0c4de
cornflowerblue,#6495ed
slategray,#708090
darkorchid,#9932cc
darkslateblue,#483d8b
aliceblue,#f0f8ff
powderblue,#b0e0e6
thistle,#d8bfd8
mediumslateblue,#7b68ee
royalblue,#4169e1
darkviolet,#9400d3
rebeccapurple,#663399
ghostwhite,#f8f8ff
lightblue,#add8e6
plum,#dda0dd
mediumpurple,#9370db
slateblue,#6a5acd
magenta,#ff00ff
indigo,#4b0082
lavender,#e6e6fa
pink,#ffc0cb
violet,#ee82ee
orchid,#da70d6
mediumorchid,#ba55d3
mediumvioletred,#c71585
purple,#800080
lavenderblush,#fff0f5
lightpink,#ffb6c1
hotpink,#ff69b4
palevioletred,#db7093
deeppink,#ff1493
crimson,#dc143c
darkmagenta,#8b008b

